Stocks ,Acquisition,Selling price ,sales
maggi new stock kari instamt noodles (1 box),950,12,120
lucky me instant noodles (15pc),235,12,24
nissin ramen instant noodles (1box),950,39,468
mi sedaap nissin cup noodles mini beef (40g) (21pcs),235,11,99
mi sedaap lucky me go cup instant noodle sop (11pcs),280,25,150
mi sedaap payless Xtra big pancit cantoon instant noodles (1box),1222,12,108
lucky me pancit canton chilli (1 box),1400,14,84
lucky me pancit canton extra big (1 box),1008,14,70
sunshine max pancit canton/egg noodle(packs),745,10,90
nissin supermeal instant noodles (1 box) (72pcs),2800,46,322
LFSI pancit canton (1box),1400,12,60
pancit canton 15s spicy (1 box),1400,14,126
lucky me pancit canton extra hot 70g (1 box),1167,35,105
lucky me 6 pcs pancit cantin chilimansi (1box),1400,17,102
payless xtra big pancit canton kalamansi(130g packs) (1 box),1222,12,48
mi sedaap lucky me go cup instant noodles soup (36 pcs),759,12,72
Canned sardines (Mega 155g) (1 box),925,24,216
Canned corned beef (Argentina 175g) (1 box),857,37,370
Canned meat loaf (Argentina 150g) (1 box),857,24,216
CDO mear loaf 100f s(1 box),925,24,144
CDO bingo corned beef 150g(pack of 6),240,28,168
CDO sanmarino (packs of 6),320,28,252
CDO karne norte classic 150(packs of 5),350,24,120
CDO 21G big meat loaf classic flavor ,672,19,114
CDO idol jumo cheesedog 1kg,602,10,120
CDO karne norte 260g  (42 cans),2136,18,108
WOW ulam lechon paksiw (48 cans),1152,24,144
canned 555 sardines in tomato sauce 155g (48 cans),1850,18,72
canned 555 sardines sauce with chili 155g (100 cans),1850,18,36
Canned sausage (CDO 70g),550,24,144
Loaf bread,109,24,120
Canned tuna(century 180g),370,37,74
Canned pineapple (Dole 822g) (3 cans),238,118,0
Eggs (6 treys) (144 pcs),1152,9,144
Instant coffe (Kopiko 10X27.5g) (25 pcs),200,8,16
Rice (50 likos),2250,45,450
Powdered Drinks (Tang) (144 pcs),2400,18,48
ovaltine powdered choco malt 840 grams ,327,140,0
tang orange powdered juice (144 pcs),2400,18,0
tang powered juice apple litro 20g (144 pcs),2400,18,54
bear brand adult plus 1.2 kg ,520,530,0
