Member_number,Date,itemDescription
312,21/07/2015, stock kari instamt noodles 
96,05/01/2015,lucky me instant noodles
468,19/09/2015,nissin ramen instant noodles 
143,12/12/2015,mi sedaap nissin cup noodles
200,01/02/2015,mi sedaap lucky me go cup
192,14/02/2015, Xtra big pancit canton
308,08/05/2015,lucky me pancit canton 
168,23/12/2015, pancit canton extra big
170,20/03/2015, pancit canton
322,12/02/2015, supermeal instant noodles 
156,24/02/2015,LFSI pancit canton
252,14/04/2015,pancit canton 15s spicy
105,21/07/2015, pancit canton extra hot 
102,03/09/2015,pancit cantin chilimansi 
96,21/07/2015, xtra big pancit canton kalamansi
72,30/03/2015, lucky me go cup instant noodles 
552,03/05/2015,sardines 
703,02/09/2015,corned beef 
336,03/08/2015,meat loaf 
360,07/07/2015,mear loaf 
224,08/09/2015, bingo corned beef 
252,12/11/2015, sanmarino
120,18/09/2015, karne norte classic 
114,30/11/2015, big meat loaf classic flavor 
260,17/07/2015, idol jumo cheesedog 
144,12/06/2015,karne norte 
288,13/02/2015,WOW ulam lechon paksiw
144,14/01/2015, 555 sardines in tomato sauce 
126,08/03/2015,555 sardines sauce with chili 
288,27/01/2015, sausage 
120,22/10/2015,Loaf bread
74,26/10/2015,Canned tuna
0,08/10/2015,Canned pineapple 
414,03/10/2015,Eggs 
160,11/04/2015,Instant coffe
1692,21/02/2015,Rice
52,29/09/2015,Powdered Drinks
0,09/01/2015, powdered choco 
324,03/04/2015,tang orange
54,20/04/2015,tang powered juice 
0,04/08/2015,bear brand adult 
0,19/07/2015,Soy sauce
60,06/10/2015,Vinegar 
990,16/10/2015,Sugar 
621,06/06/2015,Salt 
34,26/09/2015,pepper 
360,15/08/2015,Garlic 
0,21/05/2015,Ketchup
0,25/08/2015,ufc banana ketchup 
252,11/03/2015,ufc bananaketchup 
44,01/02/2015,Sinigang 
40,05/06/2015,maggi 
0,28/07/2015,oyster source
0,05/09/2015,Gatorade sport drinks blue bolt 
0,03/04/2015,gatorade sport drinks lemon lime 
60,19/06/2015,gatorade grape
0,28/07/2015,gatorade tropical fruit
0,11/10/2015,Milo 
0,16/06/2015,Cooking oil 
0,20/01/2015,Fish sauce 
0,20/03/2015,datu puti soy souce 
0,15/02/2015,datu puti vinegar 
0,13/04/2015, oysterrific oyster sauce
0,07/02/2015,datu puti  patis 
348,02/03/2015,Evaporated milk 
342,14/03/2015,Condensed milk 
720,22/12/2015,Pasta / spaghetti 
404.3,01/07/2015,Mineral water 
35,03/11/2015,Biscuits 
51,14/04/2015,Candies 
89,29/09/2015,candies potchi 
55,12/04/2015,chocolate chewy 
35,05/05/2015,candies Vfresh winter cool gum
42,12/05/2015,margarine garlic 
195,01/07/2015,margarine chocolate 
0,08/07/2015,Margarine 
0,21/09/2015,Peanut Butter 
0,10/12/2015,Cheese 
0,30/09/2015,eden mayo bottle  
0,31/01/2015,eden sandwich spread 
0,13/12/2015,Cheese spread 
0,18/09/2015,eden original filled ceese 
532.8,04/03/2015,Diapers 
40,30/11/2015,Sanitary napkins 
0,20/12/2015,Tissue paper 
156,04/08/2015,Toothrbrush (
126,06/11/2015,palmolive expertique smoothique 
64,18/02/2015,palmolive naturals intensive moisture 
64,22/07/2015,palmolive naturals ultra smooth shampo
48,23/08/2015,palmulive naturals aroma vatality shampoo
141,15/04/2015,safeguard pure white bar
282,26/01/2015,safeguarde fresh bar soap
94,29/12/2015,safeguard floral pink 
282,20/10/2015,safeguard arctic fresh 
0,17/08/2015,safeguard lemon fres 
0,17/05/2015,safeguard natural detox bamboo
0,25/07/2015,kojie san dream white anti aging
144,23/12/2015,modes maternity pads (packs) 
0,12/12/2015,whispe breathable cotton day use 
107,11/09/2015,wisper sper clean and dry and night use 
70,20/03/2015,Conditioner (Cream Silk 12s)
0,18/06/2015,Detergent powder
54,08/12/2015,Detergent bar (Surf)
0,25/04/2015,Bleach / disinfectant
0,08/07/2015,Fabric solfener
89,14/05/2015,Battery (Everady size D) 
0,04/05/2015,Battery (Evaready size AA) 
0,10/10/2015,Battery (Everady size AAA) 
35,03/04/2015,Candle 
150,11/06/2015,light bulb (Philips 9W) 
24,30/10/2015,Ball pen 
48,23/05/2015,Pencil (mongol #2)
0,05/06/2015,cerelac nutripuffs babana& strawberry 
0,07/11/2015,cerelac nutripuffs banana & orange 
0,04/09/2015,gullon biscuit gullon gluten free cookies - 200g 
0,18/05/2015,gullon biscuits (miliana) gullon gluten free cookies 
48,26/03/2015,selecta lisses salted caramel 
64,23/06/2015,ices(yelo)
0,10/08/2015,nestle all purpose cream 
0,23/07/2015,nescafe original 3 in 1
0,01/06/2015,nestle chuckie 
0,15/05/2015,nestle boost optimum 
0,14/06/2015,nutella haelnut 
0,21/05/2015,bake king all purpose flour
0,14/01/2015,corona (355 ml beer) 
0,08/08/2015,jack daniel old no.7 tennesse wiskey 
0,10/06/2015,johnnie walker red label 1L 
600,18/09/2015,hardy's cabernet sauvigson 
1560,11/11/2015,ginebra 2/2 
1140,15/09/2015,ginebra 4/4 
225,04/05/2015,red horse beer 
450,27/06/2015,red horse litro
177,30/09/2015,san miguel light 
24,13/01/2015,rebisco cracker hansel 
0,06/09/2015,rebico crackers 1 bag 
180,22/08/2015,D A party size cracker 
102,25/02/2015,jack N jill magic cracker
30,22/02/2015,skyflakes cracker pack 
354,16/01/2015,tiger energy cracker vanilla
204,19/11/2015,firefly kn95 face mask
89,19/08/2015,greencross isopropyl alcohol
0,25/08/2015,durex love condoms  
0,24/06/2015,durex extra safe condoms 
65,06/11/2015,aielai 3 ply disposable face mask
140,10/03/2015,betadine 
